Opcode Coverage Matrix
======================

Opcode                           1.05  2.03  2.06  2.07  3.00  3.01  3.05  3.06  3.07  3.08  3.09  3.10  3.11  3.12  3.13  3.14  
LOAD_DEREF                        ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
STORE_DEREF                       ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
DELETE_DEREF                      -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
JUMP_BACKWARD                     -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
LOAD_SUPER_ATTR                   -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
CALL_FUNCTION_EX                  -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
LOAD_FAST_AND_CLEAR               -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓   
EXTENDED_ARG                      ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
LIST_APPEND                       -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
SET_ADD                           -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
MAP_ADD                           -    -    -    ✓    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
COPY_FREE_VARS                    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
YIELD_VALUE                       -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
RESUME                            -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓   
MATCH_CLASS                       -    -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓   
BUILD_CONST_KEY_MAP               -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    -   
BUILD_STRING                      -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓    ✓   
CONVERT_VALUE                     -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓   
LIST_EXTEND                       -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓   
LIST_TO_TUPLE                     -    -    -    -    -    -    -    -    -    -    ✓    ✓    -    -    -    -   
SET_UPDATE                        -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓   
DICT_MERGE                        -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓   
DICT_UPDATE                       -    -    -    -    -    -    -    -    -    -    ✓    ✓    ✓    ✓    ✓    ✓   
COPY_DICT_WITHOUT_KEYS            -    -    -    -    -    -    -    -    -    -    -    ✓    -    -    -    -   
LOAD_FAST_LOAD_FAST               -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓   
STORE_FAST_LOAD_FAST              -    -    -    -    -    -    -    -    -    -    -    -    -    -    ✓    ✓   
